"year","Coal","Gas","Oil","Cement, Flaring & Other Industry"
1870,529.404,,3.133,
1871,562.861,,3.282,
1872,622.674,,3.698,
1873,659.749,,5.67,
1874,616.754,,6.243,
1875,669.964,,5.835,
1876,679.017,,6.536,
1877,690.274,,8.824,
1878,694.339,,10.041,
1879,742.208,,12.66,
1880,838.34,,15.364,
1881,865.162,,17.242,
1882,912.817,0.165,18.939,
1883,974.149,0.381,16.502,
1884,982.679,1.172,18.323,
1885,986.996,3.715,18.959,
1886,995.975,7.676,21.824,
1887,1041.488,11.787,23.482,
1888,1150.917,16.774,24.581,
1889,1151.165,12.227,28.407,
1890,1252.118,11.688,34.651,
1891,1309.094,8.947,40.832,
1892,1322.106,7.775,40.207,
1893,1303.833,7.288,42.547,
1894,1352.458,6.698,41.702,
1895,1429.691,7.042,48.539,
1896,1474.281,6.848,52.571,
1897,1543.481,7.288,55.531,
1898,1628.632,8.46,57.173,
1899,1779.86,10.904,60.032,
1900,1873.357,11.542,67.31,
1901,1929.132,12.861,74.75,
1902,1973.178,13.696,80.808,
1903,2154.003,14.528,85.562,
1904,2166.664,15.165,96.083,
1905,2311.143,17.17,97.017,
1906,2415.683,19.027,97.893,
1907,2746.956,19.877,119.416,
1908,2626.02,19.676,128.759,
1909,2730.134,23.523,134.349,
1910,2862.583,24.915,143.839,
1911,2898.529,25.718,152.546,
1912,3047.94,28.315,156.759,
1913,3292.07,29.598,181.575,
1914,2961.773,30.136,185.583,
1915,2902.827,31.866,197.104,
1916,3129.373,38.377,214.632,
1917,3257.893,40.509,238.808,
1918,3209.469,36.519,244.605,
1919,2715.321,37.948,272.966,
1920,3125.927,41.685,350.954,
1921,2668.397,34.992,384.258,
1922,2770.67,40.107,426.345,
1923,3146.423,52.526,473.527,
1924,3152.649,59.709,470.812,
1925,3151.418,63.922,492.787,
1926,3081.757,69.144,490.648,
1927,3361.539,76.017,537.816,
1928,3305.359,82.623,549.539,
1929,3522.251,102.894,602.778,
1930,3214.073,104.224,578.598,
1931,2830.54,92.887,560.749,
1932,2519.949,88.218,536.592,
1933,2635.637,90.917,586.389,
1934,2878.248,101.949,620.413,
1935,2996.885,111.372,668.785,
1936,3285.172,125.529,729.131,
1937,3463.736,140.574,821.516,
1938,3228.046,135.493,796.989,
1939,3435.326,141.328,830.241,
1940,3794.017,153.515,872.467,
1941,3884.161,153.463,880.697,
1942,3909.448,166.049,835.716,
1943,3925.039,182.9,888.001,
1944,3867.923,197.601,1018.141,
1945,2998.27,216.697,1008.345,
1946,3234.314,223.834,1139.899,
1947,3621.548,247.888,1221.313,
1948,3739.455,280.122,1339.607,
1949,3546.31,300.454,1336.641,
1950,3856.215,353.156,1648.31,145.591
1951,4060.04,416.186,1742.354,161.215
